period,respondent,respondent-name,type,type-name,value,value-units
2024-05-28T08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59267,megawatthours
2024-05-28T08,PJM,"PJM Interconnection, LLC",D,Demand,73133,megawatthours
2024-05-28T07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60487,megawatthours
2024-05-28T07,PJM,"PJM Interconnection, LLC",D,Demand,74154,megawatthours
2024-05-28T06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,62449,megawatthours
2024-05-28T06,PJM,"PJM Interconnection, LLC",D,Demand,75628,megawatthours
2024-05-28T05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,65436,megawatthours
2024-05-28T05,PJM,"PJM Interconnection, LLC",D,Demand,78232,megawatthours
2024-05-28T04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,69023,megawatthours
2024-05-28T04,PJM,"PJM Interconnection, LLC",D,Demand,81683,megawatthours
2024-05-28T03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,72494,megawatthours
2024-05-28T03,PJM,"PJM Interconnection, LLC",D,Demand,86220,megawatthours
2024-05-28T02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,74714,megawatthours
2024-05-28T02,PJM,"PJM Interconnection, LLC",D,Demand,91633,megawatthours
2024-05-28T01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,76207,megawatthours
2024-05-28T01,PJM,"PJM Interconnection, LLC",D,Demand,94007,megawatthours
2024-05-28T00,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,77989,megawatthours
2024-05-28T00,PJM,"PJM Interconnection, LLC",D,Demand,96039,megawatthours
2024-05-27T23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,78489,megawatthours
2024-05-27T23,PJM,"PJM Interconnection, LLC",D,Demand,97388,megawatthours
2024-05-27T22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,78061,megawatthours
2024-05-27T22,PJM,"PJM Interconnection, LLC",D,Demand,97902,megawatthours
2024-05-27T21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,76570,megawatthours
2024-05-27T21,PJM,"PJM Interconnection, LLC",D,Demand,96058,megawatthours
2024-05-27T20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,75423,megawatthours
2024-05-27T20,PJM,"PJM Interconnection, LLC",D,Demand,93796,megawatthours
2024-05-27T19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,73880,megawatthours
2024-05-27T19,PJM,"PJM Interconnection, LLC",D,Demand,92596,megawatthours
2024-05-27T18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,72685,megawatthours
2024-05-27T18,PJM,"PJM Interconnection, LLC",D,Demand,91796,megawatthours
2024-05-27T17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,70857,megawatthours
2024-05-27T17,PJM,"PJM Interconnection, LLC",D,Demand,90415,megawatthours
2024-05-27T16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,68520,megawatthours
2024-05-27T16,PJM,"PJM Interconnection, LLC",D,Demand,88474,megawatthours
2024-05-27T15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,65422,megawatthours
2024-05-27T15,PJM,"PJM Interconnection, LLC",D,Demand,85441,megawatthours
2024-05-27T14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,62236,megawatthours
2024-05-27T14,PJM,"PJM Interconnection, LLC",D,Demand,82795,megawatthours
2024-05-27T13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59849,megawatthours
2024-05-27T13,PJM,"PJM Interconnection, LLC",D,Demand,80148,megawatthours
2024-05-27T12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,58744,megawatthours
2024-05-27T12,PJM,"PJM Interconnection, LLC",D,Demand,76933,megawatthours
2024-05-27T11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59192,megawatthours
2024-05-27T11,PJM,"PJM Interconnection, LLC",D,Demand,75138,megawatthours
2024-05-27T10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59074,megawatthours
2024-05-27T10,PJM,"PJM Interconnection, LLC",D,Demand,74553,megawatthours
2024-05-27T09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59468,megawatthours
2024-05-27T09,PJM,"PJM Interconnection, LLC",D,Demand,74179,megawatthours
2024-05-27T08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60193,megawatthours
2024-05-27T08,PJM,"PJM Interconnection, LLC",D,Demand,74502,megawatthours
2024-05-27T07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,61410,megawatthours
2024-05-27T07,PJM,"PJM Interconnection, LLC",D,Demand,75626,megawatthours
2024-05-27T06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,62377,megawatthours
2024-05-27T06,PJM,"PJM Interconnection, LLC",D,Demand,76987,megawatthours
2024-05-27T05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,64278,megawatthours
2024-05-27T05,PJM,"PJM Interconnection, LLC",D,Demand,79447,megawatthours
2024-05-27T04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,67874,megawatthours
2024-05-27T04,PJM,"PJM Interconnection, LLC",D,Demand,83846,megawatthours
2024-05-27T03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,71150,megawatthours
2024-05-27T03,PJM,"PJM Interconnection, LLC",D,Demand,89071,megawatthours
2024-05-27T02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,73033,megawatthours
2024-05-27T02,PJM,"PJM Interconnection, LLC",D,Demand,93686,megawatthours
2024-05-27T01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,74205,megawatthours
2024-05-27T01,PJM,"PJM Interconnection, LLC",D,Demand,96055,megawatthours
2024-05-27T00,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,75925,megawatthours
2024-05-27T00,PJM,"PJM Interconnection, LLC",D,Demand,98574,megawatthours
2024-05-26T23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,76997,megawatthours
2024-05-26T23,PJM,"PJM Interconnection, LLC",D,Demand,101530,megawatthours
2024-05-26T22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,76763,megawatthours
2024-05-26T22,PJM,"PJM Interconnection, LLC",D,Demand,103265,megawatthours
2024-05-26T21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,75975,megawatthours
2024-05-26T21,PJM,"PJM Interconnection, LLC",D,Demand,103191,megawatthours
2024-05-26T20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,75257,megawatthours
2024-05-26T20,PJM,"PJM Interconnection, LLC",D,Demand,102478,megawatthours
2024-05-26T19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,73946,megawatthours
2024-05-26T19,PJM,"PJM Interconnection, LLC",D,Demand,101086,megawatthours
